latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
44.82375,-106.43813,335.8,0.32,0.55,2026-08-01,824,N20,VIIRS,n,2.0NRT,289.8,2.48,N
44.82397,-106.44222,315.9,0.32,0.55,2026-08-01,824,N20,VIIRS,n,2.0NRT,288.76,2.48,N
44.82642,-106.3936,302.34,0.32,0.55,2026-08-01,824,N20,VIIRS,n,2.0NRT,288.72,0.61,N
44.82665,-106.39773,297.73,0.32,0.55,2026-08-01,824,N20,VIIRS,n,2.0NRT,287.15,0.5,N
44.83144,-106.39251,330.8,0.32,0.55,2026-08-01,824,N20,VIIRS,n,2.0NRT,291.38,4.11,N
44.83167,-106.39672,315.18,0.32,0.55,2026-08-01,824,N20,VIIRS,n,2.0NRT,288.83,2.66,N
44.83644,-106.39135,342.03,0.32,0.55,2026-08-01,824,N20,VIIRS,n,2.0NRT,292.8,4.11,N
44.83668,-106.39565,335.81,0.32,0.55,2026-08-01,824,N20,VIIRS,n,2.0NRT,293.13,2.66,N
44.83691,-106.39983,319.32,0.32,0.55,2026-08-01,824,N20,VIIRS,n,2.0NRT,290.39,2.66,N
44.83805,-106.42065,302.11,0.32,0.55,2026-08-01,824,N20,VIIRS,n,2.0NRT,288.19,1,N
44.83915,-106.44077,301.33,0.32,0.55,2026-08-01,824,N20,VIIRS,n,2.0NRT,289.99,2.29,N
44.83937,-106.44476,343.45,0.32,0.55,2026-08-01,824,N20,VIIRS,n,2.0NRT,292.99,3.94,N
44.83958,-106.44879,336.86,0.32,0.55,2026-08-01,824,N20,VIIRS,n,2.0NRT,291.83,3.94,N
44.84375,-106.43202,306.74,0.32,0.55,2026-08-01,824,N20,VIIRS,n,2.0NRT,290.07,2.62,N
44.84398,-106.43611,353.29,0.32,0.55,2026-08-01,824,N20,VIIRS,n,2.0NRT,292.91,5.32,N
44.8442,-106.44016,334.57,0.32,0.55,2026-08-01,824,N20,VIIRS,n,2.0NRT,290.34,5.32,N
44.84442,-106.44421,348.59,0.32,0.55,2026-08-01,824,N20,VIIRS,n,2.0NRT,295.17,5.57,N
44.84464,-106.44819,344.43,0.32,0.55,2026-08-01,824,N20,VIIRS,n,2.0NRT,291.54,5.57,N
44.99623,-108.62567,298.81,0.42,0.61,2026-08-01,824,N20,VIIRS,n,2.0NRT,288.11,0.61,N
44.99892,-108.6273,302.51,0.42,0.61,2026-08-01,824,N20,VIIRS,n,2.0NRT,288.26,0.51,N
